scientificName,eventDate,id,materialSample_catalogNumber,testConductedBy,sampleFrozen,medium,scarified,stratificationTemperature,stratificationStartDate,incubationStartDate,endDate,numberSeedsTested,incubationTempDay,incubationTempNight,numberDead,numberViable,totalGerminants,viabilityAdjustedGermination,numberGerminants,date,notes,dateStored,stateProvince,county,locality,locationRemarks,recordedBy,decimalLatitude,decimalLongitude,minimumElevationInMeters,locationID,reproductiveCondition,identifiedBy,dateIdentified,occurrenceID,materialSample_recordNumber,numberCollected,numberAvailable,sourcePlantCount,preparationDate,materialSampleID
Penstemon alpina,2023-01-05,2,12345,Rick Levy,1,sand,1,17,2023-08-17,2023-08-31,,47,37,27,,,,,,,,2023-01-05,Colorado,Grand,10.2 km NNW of Debeque cutoff,EO: 555,Rick Levy,38.12345,-104.12345,1500,Site77,flower,,2023-01-05,,,19,19,5,2023-01-05,
Penstemon alpina,2023-01-05,3,12345,Rick Levy,1,sand,1,17,2023-08-17,2023-08-31,,47,37,27,,,,,,,,2023-01-05,Colorado,Grand,10.2 km NNW of Debeque cutoff,EO: 555,Rick Levy,38.12345,-104.12345,1500,Site77,flower,,2023-01-05,,,19,19,5,2023-01-05,
Poa pratensis,2023-01-03,4,ScGl-1342,Jenny NEale,0,sand,0,15,2023-08-15,2023-08-15,,10,30,20,,,,,,,,2023-01-03,Colorado,Grand,10.2 km NNW of Debeque cutoff,Landowner: BLM,Rick Levy,38.12345,-104.12345,1500,Site77,flower,,2023-01-03,,,17,17,3,2023-01-03,
Penstemon alpina,2023-01-05,5,ScGl-1344,Becky,1,dagadfg,1,123,2023-08-30,2023-08-30,,12,50,35,,,,,,,,2023-01-05,Colorado,Grand,10.2 km NNW of Debeque cutoff,EO: 555,Rick Levy,38.12345,-104.12345,1500,Site77,flower,,2023-01-05,,,19,19,5,2023-01-05,
Penstemon penlandii,2023-01-02,6,ScGl-1341,gdfgs,0,dgsdg,0,1,2023-05-15,2023-05-11,,0,55,44,,,,,,,,2023-01-02,Colorado,Grand,10.2 km NNW of Debeque cutoff,Landowner: BLM,Rick Levy,38.12345,-104.12345,1500,Site77,flower,,2023-01-02,,,16,16,2,2023-01-02,
Sclerocactus glaucus,2023-01-01,7,ScGl-1340,me,0,dfgdfgfdg,0,6,2022-05-05,2022-05-05,,6,6,6,,,,,,,,2023-01-01,Colorado,Grand,10.2 km NNW of Debeque cutoff,Landowner: BLM,Rick Levy,38.12345,-104.12345,1500,Site77,flower,,2023-01-01,,,15,15,1,2023-01-01,
Poa pratensis,2023-01-03,8,ScGl-1342,fgdfgs,1,gdfg,1,0,2021-01-01,2022-01-01,,6,6,6,,,,,,,,2023-01-03,Colorado,Grand,10.2 km NNW of Debeque cutoff,Landowner: BLM,Rick Levy,38.12345,-104.12345,1500,Site77,flower,,2023-01-03,,,17,17,3,2023-01-03,
Sclerocactus glaucus,2023-01-01,9,ScGl-1340,fdgsfg,1,dgsdfg,1,4,2024-04-04,2024-01-01,,4,4,4,,,,,,,,2023-01-01,Colorado,Grand,10.2 km NNW of Debeque cutoff,Landowner: BLM,Rick Levy,38.12345,-104.12345,1500,Site77,flower,,2023-01-01,,,15,15,1,2023-01-01,
Penstemon penlandii,2023-01-02,10,ScGl-1341,dsfsdf,0,dsfdf,1,4,2022-04-05,2022-01-01,,4,4,4,,,,,,,,2023-01-02,Colorado,Grand,10.2 km NNW of Debeque cutoff,Landowner: BLM,Rick Levy,38.12345,-104.12345,1500,Site77,flower,,2023-01-02,,,16,16,2,2023-01-02,
Taraxacum officinale,2023-01-04,11,ScGl-1343,Rick,0,rick's tears,1,4,2021-01-01,2022-01-01,,8,88,77,,,,,,,,2023-01-04,Colorado,Grand,10.2 km NNW of Debeque cutoff,Landowner: BLM,Rick Levy,38.12345,-104.12345,1500,Site77,flower,,2023-01-04,,,18,18,4,2023-01-04,
Sclerocactus glaucus,2012-04-23,12,ScGl-1341,Alex,1,tar,1,33,2021-08-15,2021-08-30,,66,22,55,,,,,,,,2012-04-23,Colorado,Grand,10.2 km NNW of Debeque cutoff,Landowner: BLM,Botanist One,38.12345,-104.12345,1500,Site77,flower,Rick Levy,2012-04-23,,1341,16,16,2,2012-04-23,
Taraxacum officinale,2023-01-04,13,ScGl-1343,Richard Allman Levy,0,wet dirt,0,100000,2025-01-01,2025-01-02,,100000,100000,100000,,,,,,,,2023-01-04,Colorado,Grand,10.2 km NNW of Debeque cutoff,Landowner: BLM,Rick Levy,38.12345,-104.12345,1500,Site77,flower,,2023-01-04,,,18,18,4,2023-01-04,
