recordedBy,eventDate,scientificName,identifiedby,dateIdentified,associatedTaxa,reproductiveCondition,occurrenceRemarks,habitat,country,stateProvince,county,locality,locationRemarks,locationID,decimalLatitude,decimalLongitude,minimumElevationInMeters,permitURI,materialSampleID,materialSampleType,materialSample_catalogNumber,recordNumber-materialSample,storageLocation,disposition,numberCollected,numberAvailable,sourcePlantCount,preparationDate,dateStored,catalogNumber,recordNumber
Rick Levy,8/15/2026,Taraxacum officinale,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Eagle,Sylvan Lake,,,,,4000,,,seed,123,123,,,45,45,10,8/16/2025,,123,123
Rick Levy,8/15/2026,Taraxacum officinale,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Eagle,Sylvan Lake,,,,,4000,,,seed,124,124,,,22,22,10,8/16/2025,,124,124
Rick Levy,8/15/2026,Taraxacum officinale,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Eagle,Sylvan Lake,,,,,4000,,,seed,125,125,,,34,34,10,8/16/2025,,125,125
Rick Levy,8/15/2026,Taraxacum officinale,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Eagle,Sylvan Lake,,,,,4000,,,seed,126,126,,,87,87,10,8/16/2025,,126,126
Rick Levy,8/15/2026,Taraxacum officinale,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Eagle,Sylvan Lake,,,,,4000,,,seed,127,127,,,15,15,10,8/16/2025,,127,127
Rick Levy,8/15/2026,Taraxacum officinale,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Eagle,Sylvan Lake,,,,,4000,,,seed,128,128,,,102,102,10,8/16/2025,,128,128
Rick Levy,8/15/2026,Taraxacum officinale,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Eagle,Sylvan Lake,,,,,4000,,,seed,129,129,,,64,64,10,8/16/2025,,129,129
Rick Levy,8/15/2026,Taraxacum officinale,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Eagle,Sylvan Lake,,,,,4000,,,tissue,123,123,,,1,1,1,8/16/2025,,123,123
Rick Levy,8/15/2026,Taraxacum officinale,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Eagle,Sylvan Lake,,,,,4000,,,tissue,124,124,,,1,1,1,8/16/2025,,124,124
Rick Levy,8/15/2026,Taraxacum officinale,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Eagle,Sylvan Lake,,,,,4000,,,tissue,125,125,,,1,1,1,8/16/2025,,125,125
Rick Levy,8/15/2026,Taraxacum officinale,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Eagle,Sylvan Lake,,,,,4000,,,tissue,126,126,,,1,1,1,8/16/2025,,126,126
Rick Levy,8/15/2026,Taraxacum officinale,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Eagle,Sylvan Lake,,,,,4000,,,tissue,127,127,,,1,1,1,8/16/2025,,127,127
Rick Levy,8/15/2026,Taraxacum officinale,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Eagle,Sylvan Lake,,,,,4000,,,tissue,128,128,,,1,1,1,8/16/2025,,128,128
Rick Levy,8/15/2026,Taraxacum officinale,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Eagle,Sylvan Lake,,,,,4000,,,tissue,129,129,,,1,1,1,8/16/2025,,129,129
